strain,Condition
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
parent,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
mutant,control
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
parent,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
mutant,stress
